Diametro_g1,Diametro_g2,Diametro_g3
16.43,16.32,16.07
16.37,15.71,15.74
16.46,16.53,16.14
15.58,16.12,15.55
16.53,15.44,15.65
16.28,15.95,16.23
15.60,15.73,16.01
15.84,15.93,15.78
16.47,16.23,15.53
15.53,15.81,16.1
15.65,15.95,15.97
16.30,16.29,15.8
16.00,15.65,15.5
15.55,15.76,15.92
16.26,15.63,16.06
16.46,16.1,16.21
15.82,16.16,16
15.97,16.18,15.95
15.86,16.52,16.32
16.04,16.09,15.7
16.19,15.67,15.8
16.47,16.24,15.9
15.60,16.28,15.85
16.18,16.20,16.11
16.70,16.13,15.75
16.49,15.72,16.2
15.85,15.71,16.03
15.43,15.72,15.71
15.75,15.73,16.42
15.43,15.74,15.61
15.63,15.83,15.77
15.73,15.67,15.83
15.70,15.87,15.94
15.91,15.91,15.95
16.52,15.81,16.04
15.94,15.79,16.06
15.63,15.83,15.89
15.83,15.78,16.28
15.26,16.62,16.42
15.67,15.95,15.65
15.77,15.48,15.8
15.85,16.32,16.16
15.24,15.69,15.05
15.18,15.81,15.55
15.84,15.47,15.18
15.82,15.39,15.88
15.76,15.47,15.95
15.78,15.55,16.42
15.70,15.27,15.9
16.03,14.87,15.54
15.53,15.63,15.26
16.11,16.00,15.65
15.34,15.77,15.99
15.65,15.08,15.06
15.74,15.63,15.78
16.04,15.54,15.57
15.83,15.93,15.06
16.31,15.58,15.9
15.79,14.81,15.81
15.97,16.05,15.47
15.54,15.64,16.5
15.55,15.14,16.37
15.65,15.99,15.7
15.76,16.02,16.1
15.93,15.70,15.93
16.27,16.02,16.13
16.35,16.18,16.44
16.40,15.11,16.24
16.50,15.70,15.85
16.78,16.05,16.74
16.16,15.82,15.91
16.30,15.7,16
15.93,16.31,15.7
15.99,16.37,14.01
16.37,15.19,15.75
15.72,15.77,16.25
15.39,16.05,16.48
16.09,15.59,16.21
15.66,15.61,15.98
16.20,15.47,16.01
16.27,,15.55
16.15,,16.19
16.91,,15.73
16.7,,15.91
16.91,,15.93
15.6,,16.29
16.27,,15.43
15.67,,15.27
16.66,,15.48
15.52,,15.36
